Date,EUR to USD Rate,TUR to USD Rate
28/11/2015,1.05925,0.342261
29/11/2015,1.059249,0.341939
30/11/2015,1.059249,0.341939
1/12/2015,1.0565,0.343562
2/12/2015,1.061701,0.345807
3/12/2015,1.057798,0.345627
4/12/2015,1.0903,0.345736
5/12/2015,1.08845,0.346984
6/12/2015,1.087897,0.345423
7/12/2015,1.087897,0.345423
8/12/2015,1.08455,0.343364
9/12/2015,1.0875,0.343239
10/12/2015,1.09905,0.34301
11/12/2015,1.0945,0.342747
12/12/2015,1.099,0.336223
13/12/2015,1.099475,0.335368
14/12/2015,1.099475,0.335368
15/12/2015,1.10335,0.334576
16/12/2015,1.092001,0.337646
17/12/2015,1.09385,0.337925
18/12/2015,1.0807,0.34174
19/12/2015,1.08455,0.343938
20/12/2015,1.086785,0.343784
21/12/2015,1.086785,0.343784
22/12/2015,1.093249,0.342675
23/12/2015,1.0971,0.340858
24/12/2015,1.0881,0.342038
25/12/2015,1.09605,0.342826
26/12/2015,1.096407,0.342759
27/12/2015,1.097701,0.342642
28/12/2015,1.097701,0.342642
29/12/2015,1.098352,0.344021
30/12/2015,1.091798,0.344264
31/12/2015,1.0917,0.341579
1/1/2016,1.085841,0.3427
2/1/2016,1.086301,0.343183
3/1/2016,1.086101,0.343183
4/1/2016,1.086101,0.343183
5/1/2016,1.0795,0.336968
6/1/2016,1.0741,0.335383
7/1/2016,1.0762,0.332785
8/1/2016,1.0855,0.333725
9/1/2016,1.0897,0.332161
10/1/2016,1.092502,0.330972
11/1/2016,1.092502,0.330972
12/1/2016,1.089,0.329184
13/01/2016,1.08335,0.329029
14/01/2016,1.0854,0.331263
15/01/2016,1.0857,0.330444
16/01/2016,1.095249,0.328324
17/01/2016,1.091244,0.328041
18/01/2016,1.091244,0.328041
19/01/2016,1.08835,0.329963
20/01/2016,1.09,0.329294
21/01/2016,1.09075,0.326956
22/01/2016,1.0827,0.330537
23/01/2016,1.081449,0.332427
24/01/2016,1.079809,0.332912
25/01/2016,1.079809,0.332912
26/01/2016,1.08275,0.331153
27/01/2016,1.08435,0.332239
28/01/2016,1.08715,0.334586
29/01/2016,1.0947,0.336331
30/01/2016,1.0831,0.337402
31/01/2016,1.083107,0.338375
1/2/2016,1.083107,0.338375
2/2/2016,1.08895,0.338491
3/2/2016,1.09065,0.338849
4/2/2016,1.1056,0.342104
5/2/2016,1.1199,0.343562
6/2/2016,1.1131,0.342683
7/2/2016,1.115797,0.342079
8/2/2016,1.115797,0.342079
9/2/2016,1.1176,0.33913
10/2/2016,1.13105,0.340687
11/2/2016,1.1225,0.341141
12/2/2016,1.13725,0.341672
13/02/2016,1.123066,0.340996
14/02/2016,1.125505,0.341344
15/02/2016,1.125505,0.341344
16/02/2016,1.1154,0.33898
17/02/2016,1.114051,0.336548
18/02/2016,1.11385,0.338637
19/02/2016,1.1091,0.336895
20/02/2016,1.11255,0.338321
21/02/2016,1.113109,0.338799
22/02/2016,1.113109,0.338799
23/02/2016,1.1022,0.340487
